date,btc_close,strategy_equity,spot_hodl,lev3x_hodl
2022-10-23,19567.0078125,6404.653224605631,6805.191916698302,6089.961659716709
2022-10-24,19345.572265625,6202.287097112552,6728.179048501828,5852.867693983638
2022-10-25,20095.857421875,6865.078873506867,6989.1200431320585,6629.400469835508
2022-10-26,20770.44140625,7460.275333470752,7223.732995791596,7326.737968117911
2022-10-27,20285.8359375,7023.2940653473615,7055.192498934508,6814.766804297603
2022-10-28,20595.3515625,7293.428500583764,7162.838657689361,7131.258725770242
2022-10-29,20818.4765625,7486.568822625724,7240.4390992573,7357.543655284726
2022-10-30,20635.603515625,7318.199582870888,7176.837847992876,7160.280747428264
2022-10-31,20495.7734375,7188.199283207568,7128.206471827142,7007.971233106417
2022-11-01,20485.2734375,7173.375688948808,7124.554686341592,6990.603777432059
2022-11-02,20159.50390625,6877.878286947995,7011.255596260336,6644.396377151654
2022-11-03,20209.98828125,6917.437401810678,7028.813511295771,6690.744190097793
2022-11-04,21147.23046875,7746.441427896221,7354.77612241555,7662.012724946958
2022-11-05,21282.69140625,7861.389176624802,7401.88795912236,7796.686535904178
2022-11-06,20926.486328125,7538.582724815294,7278.003717772255,7418.483608507868
2022-11-07,20602.81640625,7244.836677139803,7165.434848932994,7074.328110626043
2022-11-08,18541.271484375,5403.990265388376,6448.452008598464,4917.575982814715
2022-11-09,15880.7802734375,3030.467655079604,5523.162181118933,2136.735654413116
2022-11-10,17586.771484375,4545.026396442749,6116.48731850727,3911.20622799147
2022-11-11,17034.29296875,4048.4700026184973,5924.341316179878,3329.4363138247318
2022-11-12,16799.185546875,3834.6087921458093,5842.573518965763,3078.874606015314
2022-11-13,16353.365234375,3433.2179541702913,5687.522076456154,2608.6015086176767
2022-11-14,16618.19921875,3664.6240468088927,5779.628447905774,2879.718957363423
2022-11-15,16884.61328125,3897.3660898991034,5872.284353294719,3152.401617612294
2022-11-16,16669.439453125,3701.2912503894886,5797.449242588327,2922.678581174788
2022-11-17,16687.517578125,3712.932302812056,5803.7366173007995,2936.317342356635
2022-11-18,16697.77734375,3717.608034772573,5807.3048518907535,2941.795471759797
2022-11-19,16711.546875,3725.405682643718,5812.093744687095,2950.9312657786004
2022-11-20,16291.83203125,3347.279307210196,5666.121499498889,2507.9150208644332
