date,btc,v9a_eq,v9a_lev
2020-02-13,10214.3798828125,10899.699602927416,2.0
2020-02-14,10312.1162109375,10995.871637859917,2.0
2020-02-15,9889.4248046875,10563.335146039322,2.0
2020-02-16,9934.43359375,10606.042747506526,2.0
2020-02-17,9690.142578125,10354.064986633712,2.0
2020-02-18,10141.99609375,10882.863480028926,2.0
2020-02-19,9633.38671875,10280.204103398728,2.0
2020-02-20,9608.4755859375,10247.45700841046,2.0
2020-02-21,9686.44140625,10335.894152306719,2.0
2020-02-22,9663.181640625,10305.073396239022,2.0
2020-02-23,9924.515625,10608.305302044004,2.0
2020-02-24,9650.1748046875,10346.204571615417,2.0
2020-02-25,9341.705078125,10002.190683565574,2.0
2020-02-26,8820.5224609375,9423.262172951534,2.0
2020-02-27,8784.494140625,9380.531606847862,2.0
2020-02-28,8672.455078125,9253.832138743337,2.0
2020-02-29,8599.5087890625,9170.36166346061,2.0
2020-03-01,8562.4541015625,9126.570388854225,2.0
2020-03-02,8869.669921875,9463.160386631465,2.0
2020-03-03,8787.7861328125,9369.749882164677,2.0
2020-03-04,8755.24609375,9330.884214913274,2.0
2020-03-05,9078.7626953125,9685.420290776457,2.0
2020-03-06,9122.5458984375,9730.784263098907,2.0
2020-03-07,8909.9541015625,9492.876522107646,2.0
2020-03-08,8108.1162109375,8604.007783232355,2.0
2020-03-09,7923.64453125,8396.328125378808,2.0
2020-03-10,7909.7294921875,8373.488352455503,2.0
2020-03-11,7911.43017578125,8372.544995798817,2.0
2020-03-12,4970.7880859375,4246.9414393098905,2.0
2020-03-13,5563.70703125,5076.0209350814675,2.0
2020-03-14,5200.3662109375,4564.338965451583,2.0
2020-03-15,5392.31494140625,4831.230473040414,2.0
2020-03-16,5014.47998046875,4299.302306642069,2.0
2020-03-17,5225.62939453125,4593.188074265878,2.0
2020-03-18,5238.4384765625,4608.9459183604085,2.0
2020-03-19,6191.19287109375,5942.340350663174,2.0
2020-03-20,6198.7783203125,5950.36937011592,2.0
2020-03-21,6185.06640625,5928.53995115727,2.0
2020-03-22,5830.2548828125,5428.553201431649,2.0
2020-03-23,6416.31494140625,6245.907138973996,2.0
2020-03-24,6734.8037109375,6861.902036157714,2.0
2020-03-25,6681.06298828125,6748.302887258145,2.0
