date,pw5_btc,pw5_strategy,pw5_lev
2019-01-04,3857.717529296875,4109.461592026866,1.5
2019-01-05,3845.194580078125,4109.461592026866,1.5
2019-01-06,4076.632568359375,4109.461592026866,1.5
2019-01-07,4025.248291015625,4109.461592026866,1.5
2019-01-08,4030.847900390625,4109.461592026866,1.5
2019-01-09,4035.29638671875,4109.461592026866,1.5
2019-01-10,3678.924560546875,4109.461592026866,1.5
2019-01-11,3687.365478515625,4109.461592026866,1.5
2019-01-12,3661.301025390625,4109.461592026866,1.5
2019-01-13,3552.953125,4109.461592026866,1.5
2019-01-14,3706.05224609375,4109.461592026866,1.5
2019-01-15,3630.67529296875,4109.461592026866,1.5
2019-01-16,3655.0068359375,4109.461592026866,1.5
2019-01-17,3678.56396484375,4109.461592026866,1.5
2019-01-18,3657.83935546875,4109.461592026866,1.5
2019-01-19,3728.568359375,4109.461592026866,1.5
2019-01-20,3601.013671875,4109.461592026866,1.5
2019-01-21,3576.032470703125,4109.461592026866,1.5
2019-01-22,3604.5771484375,4109.461592026866,1.5
2019-01-23,3585.123046875,4109.461592026866,1.5
2019-01-24,3600.865478515625,4109.461592026866,1.5
2019-01-25,3599.765869140625,4109.461592026866,1.5
2019-01-26,3602.46044921875,4109.461592026866,1.5
2019-01-27,3583.9658203125,4109.461592026866,1.5
2019-01-28,3470.450439453125,4109.461592026866,1.5
2019-01-29,3448.116943359375,4109.461592026866,1.5
2019-01-30,3486.181640625,4109.461592026866,1.5
2019-01-31,3457.792724609375,4109.461592026866,1.5
2019-02-01,3487.9453125,4109.461592026866,1.5
2019-02-02,3521.060791015625,4109.461592026866,1.5
2019-02-03,3464.013427734375,4109.461592026866,1.5
2019-02-04,3459.154052734375,4109.461592026866,1.5
2019-02-05,3466.357421875,4109.461592026866,1.5
2019-02-06,3413.767822265625,4109.461592026866,1.5
2019-02-07,3399.4716796875,4109.461592026866,1.5
2019-02-08,3666.7802734375,4109.461592026866,1.5
2019-02-09,3671.20361328125,4109.461592026866,1.5
2019-02-10,3690.188232421875,4109.461592026866,1.5
2019-02-11,3648.4306640625,4109.461592026866,1.5
2019-02-12,3653.528564453125,4109.461592026866,1.5
2019-02-13,3632.070556640625,4109.461592026866,1.5
2019-02-14,3616.880859375,4109.461592026866,1.5
2019-02-15,3620.810791015625,4109.461592026866,1.5
2019-02-16,3629.78759765625,4109.461592026866,1.5
2019-02-17,3673.836181640625,4109.461592026866,1.5
2019-02-18,3915.71435546875,4109.461592026866,1.5
2019-02-19,3947.094482421875,4109.461592026866,1.5
2019-02-20,3999.820556640625,4109.461592026866,1.5
2019-02-21,3954.1181640625,4109.461592026866,1.5
2019-02-22,4005.526611328125,4109.461592026866,1.5
2019-02-23,4142.52685546875,4109.461592026866,1.5
2019-02-24,3810.427490234375,4109.461592026866,1.5
2019-02-25,3882.6962890625,4109.461592026866,1.5
2019-02-26,3854.35791015625,4109.461592026866,1.5
2019-02-27,3851.04736328125,4109.461592026866,1.5
2019-02-28,3854.785400390625,4109.461592026866,1.5
2019-03-01,3859.583740234375,4109.461592026866,1.5
2019-03-02,3864.4150390625,4109.461592026866,1.5
2019-03-03,3847.17578125,4109.461592026866,1.5
2019-03-04,3761.55712890625,4109.461592026866,1.5
2019-03-05,3896.375,4109.461592026866,1.5
2019-03-06,3903.942626953125,4109.461592026866,1.5
2019-03-07,3911.484375,4109.461592026866,1.5
2019-03-08,3901.131591796875,4109.461592026866,1.5
2019-03-09,3963.313720703125,4109.461592026866,1.5
2019-03-10,3951.599853515625,4109.461592026866,1.5
2019-03-11,3905.227294921875,4109.461592026866,1.5
2019-03-12,3909.15625,4109.461592026866,1.5
2019-03-13,3906.71728515625,4109.461592026866,1.5
2019-03-14,3924.369140625,4109.461592026866,1.5
2019-03-15,3960.9111328125,4109.461592026866,1.5
2019-03-16,4048.725830078125,4109.461592026866,1.5
2019-03-17,4025.22900390625,4109.461592026866,1.5
2019-03-18,4032.50732421875,4109.461592026866,1.5
2019-03-19,4071.190185546875,4109.461592026866,1.5
2019-03-20,4087.476318359375,4109.461592026866,1.5
2019-03-21,4029.326904296875,4109.461592026866,1.5
2019-03-22,4023.96826171875,4109.461592026866,1.5
2019-03-23,4035.826416015625,4109.461592026866,1.5
2019-03-24,4022.168212890625,4109.461592026866,1.5
2019-03-25,3963.070556640625,4109.461592026866,1.5
2019-03-26,3985.080810546875,4109.461592026866,1.5
2019-03-27,4087.066162109375,4109.461592026866,1.5
2019-03-28,4069.107177734375,4109.461592026866,1.5
2019-03-29,4098.37451171875,4109.461592026866,1.5
2019-03-30,4106.66015625,4109.461592026866,1.5
2019-03-31,4105.404296875,4109.461592026866,1.5
2019-04-01,4158.18310546875,4109.461592026866,1.5
2019-04-02,4879.8779296875,4109.461592026866,1.5
2019-04-03,4973.02197265625,4109.461592026866,1.5
2019-04-04,4922.798828125,4109.461592026866,1.5
2019-04-05,5036.68115234375,4109.461592026866,1.5
2019-04-06,5059.8173828125,4109.461592026866,1.5
2019-04-07,5198.89697265625,4109.461592026866,1.5
2019-04-08,5289.77099609375,4109.461592026866,1.5
2019-04-09,5204.95849609375,4109.461592026866,1.5
2019-04-10,5324.5517578125,4109.461592026866,1.5
2019-04-11,5064.48779296875,4109.461592026866,1.5
2019-04-12,5089.5390625,4109.461592026866,1.5
2019-04-13,5096.58642578125,4109.461592026866,1.5
2019-04-14,5167.72216796875,4109.461592026866,1.5
2019-04-15,5067.1083984375,4109.461592026866,1.5
2019-04-16,5235.5595703125,4109.461592026866,1.5
2019-04-17,5251.93798828125,4109.461592026866,1.5
2019-04-18,5298.3857421875,4109.461592026866,1.5
2019-04-19,5303.8125,4109.461592026866,1.5
2019-04-20,5337.88623046875,4109.461592026866,1.5
2019-04-21,5314.53125,4109.461592026866,1.5
2019-04-22,5399.365234375,4109.461592026866,1.5
2019-04-23,5572.3623046875,4109.461592026866,1.5
2019-04-24,5464.86669921875,4109.461592026866,1.5
2019-04-25,5210.515625,4109.461592026866,1.5
2019-04-26,5279.34814453125,4109.461592026866,1.5
