swing_w,tol%,1.b,d%,N,cooldown,lifetime_w,W1-BEAR,W2-EARLYBULL,W3-MIDCHOP,W4-LATEBULL,W5-FULL,geo_4w,worst_4w
4,2.0,1.5,33,7,14,26,0.4562468046039125,1.4193587595717327,0.9736462300430819,1.1410477366463705,2.441265567471844,0.9209779970605189,0.4562468046039125
4,2.0,1.5,20,7,14,26,0.38469405393512995,1.6313001502846813,0.9736462300430819,1.1507925471853637,3.407388539692453,0.9157183019338959,0.38469405393512995
4,3.0,1.5,50,7,7,26,0.3802878656027719,1.5375765615702393,0.9140939865010309,1.315173215088966,3.8400078792215093,0.915652649369109,0.3802878656027719
4,1.0,1.5,33,7,14,26,0.5873697706385412,1.1397348846998456,0.9779942459061368,1.0644940846376256,1.6985791357334201,0.9136897358616829,0.5873697706385412
2,2.0,1.0,50,5,7,13,0.19148405852873254,2.52570855780501,0.8309316380633763,1.7244427669187672,6.037088849756926,0.9123941350991875,0.19148405852873254
2,3.0,1.0,50,5,14,13,0.16747343502564283,2.384360086905598,0.8986760887856313,1.9211523087630207,6.469464725479882,0.9112146401202423,0.16747343502564283
4,3.0,1.0,50,5,7,13,0.19252738828110239,2.841796941315458,0.7872306770508065,1.5915702770789872,5.649183049872473,0.9099202869345957,0.19252738828110239
2,2.0,1.5,33,5,14,13,0.18172371212166205,1.9785057814595006,0.9543299714569974,1.9763943615756727,5.643104927910986,0.9074658138841185,0.18172371212166205
4,1.0,1.5,33,7,14,13,0.6658175964467662,1.0,0.9864224583721313,1.0203151594646942,1.1667597421842186,0.9047698913861774,0.6658175964467662
2,3.0,1.0,50,7,7,26,0.18835061108679396,2.3774516477294325,0.838223733863283,1.772138320615778,4.850092360972025,0.9030963234464662,0.18835061108679396
2,3.0,1.5,33,7,14,26,0.2667663375190789,1.774124427456497,0.959680410302151,1.4586423149573526,3.7499633421328586,0.9021892230063997,0.2667663375190789
2,2.0,1.0,33,7,7,13,0.14780970125023654,2.864286111942722,0.8790225986166974,1.741835611354224,7.024728803540132,0.897287536893555,0.14780970125023654
2,1.0,1.5,33,5,7,13,0.17565759594044486,2.325209760619811,0.9543299714569974,1.6596022581273573,5.108131377817985,0.8968254272966943,0.17565759594044486
2,3.0,1.0,33,7,14,13,0.15694055416942437,2.486555183649587,0.9276257777040228,1.7862700234835165,6.271062275049142,0.8967333064788081,0.15694055416942437
4,1.0,1.5,20,7,14,26,0.5155637221114823,1.1846078396127595,0.9779942459061368,1.0741300546588048,1.9620189397789523,0.8949783512568049,0.5155637221114823
4,1.0,1.5,50,7,7,13,0.6107321757036984,1.0,0.9864224583721313,1.0502721962662003,1.1374325963542475,0.8918748250136073,0.6107321757036984
2,2.0,1.5,33,5,7,13,0.17493085399469757,2.5429246828506407,0.8331815653301263,1.6941132260458467,6.438000208053841,0.8901649698651823,0.17493085399469757
4,1.0,1.5,50,7,7,26,0.5308810261566044,1.0915117211807797,0.9779942459061368,1.0729329805802192,1.4353428031119615,0.8830466058299781,0.5308810261566044
4,1.0,1.5,20,7,14,13,0.5935855447514693,1.0,0.9864224583721313,1.0189972045086426,1.1800449362052496,0.8788804723514307,0.5935855447514693
4,3.0,1.5,50,7,14,26,0.3899378640117984,1.403601156106754,0.968790365401965,1.110448769277652,2.3094278240244845,0.8759753110714305,0.3899378640117984
2,1.0,1.5,50,7,14,26,0.34306553358040753,1.4754922443173426,0.9685585049579801,1.1950651097041662,2.2714634864573653,0.8748988817353526,0.34306553358040753
4,3.0,1.5,50,5,7,26,0.16510339956932524,2.4955072217790066,0.7950673044826081,1.7820851475147939,5.070707724797968,0.8741013640006917,0.16510339956932524
2,2.0,1.5,33,7,14,26,0.1820384172749478,2.297302047107366,0.9620364811633972,1.3981778932144964,4.285891627095781,0.8660316832086612,0.1820384172749478
2,2.0,1.5,50,5,7,26,0.2038890474024148,1.9758694074009107,0.8331815653301263,1.6733426038629737,5.288147784237463,0.8657034806891634,0.2038890474024148
