tol%,d%,N,cd,lt_w,stop,W1-BEAR,W2-EARLYBULL,W3-MIDCHOP,W4-LATEBULL,W5-FULL,geo_4w,worst_4w,any_liq,max_dd_any%,stops
1.0,20,7,14,13,1.0,0.7601975909249571,1.5358189253005479,0.9812795026273456,1.1933890385984476,2.55761429136664,1.081335146165133,0.7601975909249571,False,28.881090470196767,0
1.0,20,7,14,26,0.2,0.5406779005250508,2.505855581705421,0.9685585049579801,1.2557989193500108,4.426151384065007,1.133013684240031,0.5406779005250508,False,56.83424947200335,1
1.0,20,7,14,26,0.25,0.5406779005250508,2.505855581705421,0.9685585049579801,1.2557989193500108,4.426151384065007,1.133013684240031,0.5406779005250508,False,56.83424947200335,1
1.0,20,7,14,26,0.3,0.48681123857428055,2.505855581705421,0.9685585049579801,1.2557989193500108,4.426151384065007,1.1036735877081243,0.48681123857428055,False,61.1347671911202,1
1.0,20,7,14,26,1.0,0.0,2.505855581705421,0.9685585049579801,1.2557989193500108,4.426151384065007,0.0,0.0,True,100.0,0
1.0,33,5,7,13,0.2,0.7402837971693064,2.325209760619811,0.9543299714569974,1.6596022581273573,5.108131377817985,1.2849633489174774,0.7402837971693064,False,48.65565755097511,1
1.0,33,5,7,13,0.25,0.6314903692498378,2.325209760619811,0.9543299714569974,1.6596022581273573,5.108131377817985,1.2349030474087925,0.6314903692498378,False,48.65565755097511,1
1.0,33,5,7,13,0.3,0.5917221743606779,2.325209760619811,0.9543299714569974,1.6596022581273573,5.108131377817985,1.2149842287691024,0.5917221743606779,False,49.42325491845935,1
1.0,33,5,7,13,1.0,0.17565759594044486,2.325209760619811,0.9543299714569974,1.6596022581273573,5.108131377817985,0.8968254272966943,0.17565759594044486,False,84.98587709491365,0
1.0,33,5,7,26,0.2,0.3632323297539425,3.1610415313261684,0.923379529866523,1.6860719310948422,6.985432321320943,1.156292636034136,0.3632323297539425,False,72.84302930936781,1
1.0,33,5,7,26,0.25,0.3632323297539425,3.1610415313261684,0.923379529866523,1.6860719310948422,6.985432321320943,1.156292636034136,0.3632323297539425,False,72.84302930936781,1
1.0,33,5,7,26,0.3,0.291468936242746,3.1610415313261684,0.923379529866523,1.6860719310948422,6.985432321320943,1.0943839237233501,0.291468936242746,False,78.20840076615431,1
1.0,33,5,7,26,1.0,0.0,3.1610415313261684,0.923379529866523,1.6860719310948422,6.985432321320943,0.0,0.0,True,100.0,0
1.0,33,5,14,13,0.2,0.8473396648594054,1.7298926273629796,0.9543299714569974,1.4747853484179663,4.152906950110626,1.198466821686468,0.8473396648594054,False,36.03775154978148,1
1.0,33,5,14,13,0.25,0.7838630324771564,1.7298926273629796,0.9543299714569974,1.4747853484179663,4.152906950110626,1.1753620853579596,0.7838630324771564,False,36.03775154978148,1
1.0,33,5,14,13,0.3,0.7606598745680828,1.7298926273629796,0.9543299714569974,1.4747853484179663,4.152906950110626,1.1665658486107076,0.7606598745680828,False,36.03775154978148,1
1.0,33,5,14,13,1.0,0.5179027632542803,1.7298926273629796,0.9543299714569974,1.4747853484179663,4.152906950110626,1.059677439759832,0.5179027632542803,False,52.83355660995329,0
1.0,33,5,14,26,0.2,0.4635644223717592,3.01360958343737,0.923379529866523,1.574735235658185,7.1459792380985485,1.1938402539227382,0.4635644223717592,False,66.4767122466862,1
1.0,33,5,14,26,0.25,0.4635644223717592,3.01360958343737,0.923379529866523,1.574735235658185,7.1459792380985485,1.1938402539227382,0.4635644223717592,False,66.4767122466862,1
1.0,33,5,14,26,0.3,0.3958199453909583,3.01360958343737,0.923379529866523,1.574735235658185,7.1459792380985485,1.147606799233974,0.3958199453909583,False,71.37574566237804,1
1.0,33,5,14,26,1.0,0.0,3.01360958343737,0.923379529866523,1.574735235658185,7.1459792380985485,0.0,0.0,True,100.0,0
1.0,33,7,7,13,0.2,0.893540322880474,2.095016691361761,0.9812795026273456,1.4036770414830964,3.567957784518862,1.2671860747344437,0.893540322880474,False,25.88839623053385,1
1.0,33,7,7,13,0.25,0.8489450566521926,2.095016691361761,0.9812795026273456,1.4036770414830964,3.567957784518862,1.251070399582249,0.8489450566521926,False,25.88839623053385,1
1.0,33,7,7,13,0.3,0.8326437664693606,2.095016691361761,0.9812795026273456,1.4036770414830964,3.567957784518862,1.2450209563510253,0.8326437664693606,False,25.88839623053385,1
1.0,33,7,7,13,1.0,0.6620956828430005,2.095016691361761,0.9812795026273456,1.4036770414830964,3.567957784518862,1.175687881912185,0.6620956828430005,False,38.10242992277403,0
1.0,33,7,7,26,0.2,0.5385260424409282,3.184237643826859,0.9685585049579801,1.4145586443622873,5.734009824105335,1.2380544616611686,0.5385260424409282,False,62.79100268062761,1
1.0,33,7,7,26,0.25,0.5385260424409282,3.184237643826859,0.9685585049579801,1.4145586443622873,5.734009824105335,1.2380544616611686,0.5385260424409282,False,62.79100268062761,1
1.0,33,7,7,26,0.3,0.4299350726306766,3.184237643826859,0.9685585049579801,1.4145586443622873,5.734009824105335,1.1702773262068324,0.4299350726306766,False,70.29400306713336,1
1.0,33,7,7,26,1.0,0.0,3.184237643826859,0.9685585049579801,1.4145586443622873,5.734009824105335,0.0,0.0,True,100.0,0
1.0,33,7,14,13,0.2,0.9374233497529569,1.2950070022324152,0.9812795026273456,1.188452731550748,2.008932845007698,1.0908012601770882,0.9374233497529569,False,20.532164146608366,1
1.0,33,7,14,13,0.25,0.9114037879605245,1.2950070022324152,0.9812795026273456,1.188452731550748,2.008932845007698,1.0831519766194304,0.9114037879605245,False,20.532164146608366,1
1.0,33,7,14,13,0.3,0.9018926343542797,1.2950070022324152,0.9812795026273456,1.188452731550748,2.008932845007698,1.080314982728637,0.9018926343542797,False,20.532164146608366,1
1.0,33,7,14,13,1.0,0.8023846198089424,1.2950070022324152,0.9812795026273456,1.188452731550748,2.008932845007698,1.0491977199632765,0.8023846198089424,False,22.86129363990095,0
1.0,33,7,14,26,0.2,0.6341900701480265,1.890521923411453,0.9685585049579801,1.2236201695148925,3.176694206295765,1.091800805722377,0.6341900701480265,False,49.368579095320264,1
1.0,33,7,14,26,0.25,0.6341900701480265,1.890521923411453,0.9685585049579801,1.2236201695148925,3.176694206295765,1.091800805722377,0.6341900701480265,False,49.368579095320264,1
1.0,33,7,14,26,0.3,0.5885213913432071,1.890521923411453,0.9685585049579801,1.2236201695148925,3.176694206295765,1.071591140284851,0.5885213913432071,False,53.01459975626774,1
1.0,33,7,14,26,1.0,0.11182918724866055,1.890521923411453,0.9685585049579801,1.2236201695148925,3.176694206295765,0.7075014644919803,0.11182918724866055,False,91.07196577881834,0
1.0,50,5,7,13,0.2,0.8276883488020698,1.7429342220454038,0.9543299714569974,1.6721269773062866,3.6474684302365183,1.2317679903802279,0.8276883488020698,False,38.46060308144514,1
1.0,50,5,7,13,0.25,0.7464992234890336,1.7429342220454038,0.9543299714569974,1.6721269773062866,3.6474684302365183,1.2003821912272403,0.7464992234890336,False,38.46060308144514,1
1.0,50,5,7,13,0.3,0.7168214661090637,1.7429342220454038,0.9543299714569974,1.6721269773062866,3.6474684302365183,1.1882695114116981,0.7168214661090637,False,38.73054259028695,1
1.0,50,5,7,13,1.0,0.40632551206411377,1.7429342220454038,0.9543299714569974,1.6721269773062866,3.6474684302365183,1.0310523736575439,0.40632551206411377,False,65.269812871223,0
1.0,50,5,7,26,0.2,0.546617435570808,2.382246683294266,0.923379529866523,1.701009643601747,5.716316684126692,1.1958846939659846,0.546617435570808,False,59.13228955461985,1
1.0,50,5,7,26,0.25,0.546617435570808,2.382246683294266,0.923379529866523,1.701009643601747,5.716316684126692,1.1958846939659846,0.546617435570808,False,59.13228955461985,1
