date,btc_close,spot_hodl,lev2_hodl,lev3_hodl,v2_best
2024-09-07,54139.6875,18829.19285759201,24848.20034468382,33772.300517025746,27918.370676811333
2024-09-08,54841.56640625,19073.298686397487,25324.968023082936,34487.45203462442,28171.319601399322
2024-09-09,57019.53515625,19830.772464419544,26828.017115648403,36742.02567347261,28968.761770390316
2024-09-10,57648.7109375,20049.592939260343,27253.62830956644,37380.442464349675,29194.56964007576
2024-09-11,57343.171875,19943.32978557405,27029.13600432251,37043.70400648378,29075.465326250618
2024-09-12,58127.01171875,20215.940734564723,27562.22833786312,37843.342506794696,29358.297276872734
2024-09-13,60571.30078125,21066.037812748178,29249.78287154238,40374.67430731359,30253.628742946694
2024-09-14,60005.12109375,20869.126692269532,28843.43915456973,39765.15873185461,30038.043226398157
2024-09-15,59182.8359375,20583.144882881246,28259.125648863424,38888.68847329515,29728.035900845105
2024-09-16,58192.5078125,20238.71956166153,27558.131774686997,37837.197662030514,29356.12384671617
2024-09-17,60308.5390625,20974.652152682516,29017.412165437363,40026.11824815606,30130.3445463074
2024-09-18,61649.6796875,21441.086235392664,29937.415679116417,41406.12351867464,30618.45208787501
2024-09-19,62940.45703125,21890.00451815296,30822.11824192612,42733.1773628892,31087.830722337763
2024-09-20,63192.9765625,21977.828057108833,30984.5786230036,42976.86793450541,31174.02402054894
2024-09-21,63394.83984375,22048.03390477876,31111.76149800059,43167.6422470009,31241.50085027976
2024-09-22,63648.7109375,22136.327502431806,31275.06689680522,43412.600345207844,31328.142472349755
2024-09-23,63329.80078125,22025.41402816626,31040.024699857226,43060.03704978585,31203.440917180524
2024-09-24,64301.96875,22363.523445099396,31702.825419656438,44054.23812948467,31555.0896066477
2024-09-25,63143.14453125,21960.497020115097,30883.59627147577,42825.394407213666,31120.44786935702
2024-09-26,65181.01953125,22669.247719768937,32287.49612215159,44931.244183227405,31865.28644283182
2024-09-27,65790.6640625,22881.275438870245,32697.822795090884,45546.734192636344,32082.985115271767
2024-09-28,65887.6484375,22915.00554677026,32751.53400756285,45627.301011344294,32111.481580214022
2024-09-29,65635.3046875,22827.24314261604,32562.312853368847,45343.46928005329,32011.090363209994
2024-09-30,63329.5,22025.30941972787,30945.230221940667,42917.84533291102,31153.147740163182
2024-10-01,60837.0078125,21158.447820379355,29198.811954551406,40298.21793182713,30226.58614081095
2024-10-02,60632.78515625,21087.421407816095,29044.1066765802,40066.160014870315,30144.507309833345
2024-10-03,60759.40234375,21131.457484724062,29119.4999559053,40179.249933857966,30184.50718774135
2024-10-04,62067.4765625,21586.39143196725,30016.416015532497,41524.62402329876,30660.36568865776
2024-10-05,62089.94921875,21594.20717672111,30019.09098073418,41528.63647110129,30661.784890507486
2024-10-06,62818.953125,21847.74678469759,30513.061548616322,42269.592322924495,30923.860802078212
2024-10-07,62236.66015625,21645.231640733866,30095.044121704435,41642.566182556664,30702.081802815002
2024-10-08,62131.96875,21608.82111141905,30009.25777040795,41513.88665561194,30656.56788421709
2024-10-09,60582.1015625,21069.794206672115,28918.562084390083,39877.84312658514,30077.89967047122
2024-10-10,60274.5,20962.813737979734,28692.023458762527,39538.035188143804,29957.709682084125
2024-10-11,62445.08984375,21717.72121288341,30188.807775842157,41783.21166376324,30751.828076637954
2024-10-12,63193.0234375,21977.844359722607,30695.86736290471,42543.80104435708,31020.84836274496
2024-10-13,62851.375,21859.022759225143,30445.10874825425,42167.66312238139,30887.808467674917
2024-10-14,66046.125,22970.121966840485,32653.52509030482,45480.28763545725,32059.482983531263
2024-10-15,67041.109375,23316.16668102849,33331.62481867223,46497.437228008355,32419.248556629434
2024-10-16,67612.71875,23514.966187602717,33715.11485210811,47072.67227816218,32622.70905939157
2024-10-17,67399.8359375,23440.927867144565,33552.97365447152,46829.460481707305,32536.68510384304
2024-10-18,68418.7890625,23795.308651176078,34247.458037343844,47871.187056015784,32905.14354964324
2024-10-19,68362.734375,23775.81344220374,34194.20213133384,47791.30319700079,32876.88864738472
2024-10-20,69001.703125,23998.039804772317,34624.256032588135,48436.38404888222,33105.053593889505
2024-10-21,67367.8515625,23429.804050345578,33473.72664130445,46710.589961956684,32494.64062879655
2024-10-22,67361.40625,23427.562440951544,33455.18688505181,46682.78032757773,32484.804367617995
2024-10-23,66432.1953125,23104.393010991844,32794.98538932581,45692.47808398874,32134.534695571398
2024-10-24,68161.0546875,23705.671446437762,33983.31885734979,47474.9782860247,32765.004600322267
2024-10-25,66642.4140625,23177.504799567127,32913.07906072878,45869.61859109318,32197.1892515227
2024-10-26,67014.6953125,23306.980158166407,33158.045589832436,46237.06838474867,32327.156157636986
2024-10-27,67929.296875,23625.068606832967,33780.04744600146,47170.07116900221,32657.15902431198
2024-10-28,69907.7578125,24313.15574352728,35141.63382594397,49212.45073891597,33379.54820072715
