buy_rsi,sell_rsi,1.b,d%,N,cb,ct,W1-BEAR,W2-EARLYBULL,W3-MIDCHOP,W4-LATEBULL,W5-FULL,geo_4w,worst_4w
35,60,1.0,33,7,7,3,0.07496758552994977,1.3861120248946834,1.0717228102267848,1.288031888163637,2.3960516284650066,0.615418058877726,0.07496758552994977
30,60,1.0,20,5,7,7,0.08417775151813424,1.5799547441137123,0.9676601244623017,1.1093180923662431,3.2993589803127525,0.6146886970663992,0.08417775151813424
35,65,1.5,33,7,7,3,0.10988814864545267,1.1311010321075872,0.9887023730666155,1.1092953108370318,1.4079465331700456,0.607632860472735,0.10988814864545267
35,60,1.5,33,5,7,7,0.07527439832553526,1.3501944034238287,1.0117979942872217,1.2947700194818428,2.2612225949108318,0.6040633840568836,0.07527439832553526
30,65,1.0,20,7,7,3,0.09295560424279276,1.3666398168207825,0.9496176205814972,1.0647916172473482,2.3424386999432945,0.5986676059194612,0.09295560424279276
30,70,1.5,50,5,3,7,0.08354916648472317,1.545413398220564,0.939500538765336,1.041255624149644,2.2881482844014847,0.5961565186477071,0.08354916648472317
35,60,1.5,20,5,7,3,0.07074927305217157,1.3470919212208643,1.0126306627156714,1.2880594061948465,2.2299174867786644,0.5937813396037157,0.07074927305217157
35,60,1.0,33,7,7,7,0.05832678036039605,1.5404248326036794,1.009965575112961,1.3630714367606227,2.9348253263212594,0.5930392335720105,0.05832678036039605
30,65,1.5,33,5,3,3,0.09157392382401641,1.3284444619644318,0.9881860981059165,1.0271182789286937,1.704994485258525,0.5927800868696183,0.09157392382401641
30,60,1.0,33,5,3,7,0.07055250483146742,1.5773997819297627,1.0170020224204033,1.086756357661275,2.793135607293617,0.5922117977381965,0.07055250483146742
30,70,1.5,50,5,3,3,0.08354916648472317,1.469154522396019,0.939500538765336,1.0395663224325393,2.1032552367253805,0.5884230926718995,0.08354916648472317
35,60,1.0,20,7,7,3,0.05443211683382521,1.537909785854364,1.0088850808113083,1.3533134953435002,2.8719594241697513,0.5814422005051637,0.05443211683382521
30,65,1.5,50,5,3,7,0.08162541617045255,1.3256560139845683,1.0114636874403007,1.026191538231604,1.6683723750798423,0.5789069253633855,0.08162541617045255
30,70,1.0,33,7,7,7,0.07280487676626386,1.5250711986607686,0.908274222929375,1.088537713789832,2.8601151245015983,0.5756092507219637,0.07280487676626386
35,65,1.5,50,5,7,3,0.0663987912811056,1.2652851044948132,1.009394174047337,1.2409272076037974,1.9654664394112635,0.5695592603293897,0.0663987912811056
30,65,1.0,33,5,7,3,0.07264087059971319,1.396608630940394,0.9667644556626068,1.0715244606744272,2.4507933280543956,0.5693700669514683,0.07264087059971319
30,65,1.0,33,7,3,3,0.0731647512810076,1.3965912400732272,0.9762344369568416,1.051088900481734,2.116629189779764,0.569037905185023,0.0731647512810076
35,70,1.5,50,7,7,7,0.08354822730164467,1.1806755432065046,0.9239195292590833,1.1449661635427801,1.8459665373718002,0.5683601910790976,0.08354822730164467
35,70,1.5,50,7,7,3,0.08354822730164467,1.1581252908871014,0.9239195292590833,1.139199324009527,1.7543234441841393,0.5649131219399612,0.08354822730164467
30,70,1.0,33,7,7,3,0.07280487676626386,1.401489695255389,0.908274222929375,1.0860362344023706,2.423044238571947,0.56325223156815,0.07280487676626386
30,65,1.0,33,7,7,7,0.06988596987306157,1.3689677703524599,0.9762344369568416,1.0628692643060629,2.2432294212446315,0.5613119627466099,0.06988596987306157
30,70,1.0,20,7,7,7,0.054845625210649035,1.8089032629201003,0.908274222929375,1.0948480598979768,4.075223276784684,0.5604437675811516,0.054845625210649035
35,65,1.0,50,7,7,3,0.05205974146262036,1.4216153486427068,1.0057117990541469,1.2951198174437515,2.4701928514470066,0.5572074330763566,0.05205974146262036
35,65,1.5,50,7,7,7,0.07512727386187011,1.127173233777389,1.0040855902365093,1.1048792461437085,1.3843775083953678,0.5536285293715845,0.07512727386187011
30,70,1.0,50,5,7,7,0.05828997630710546,1.5633426843623766,0.8715839121011243,1.1088117086946836,2.961229063197371,0.5447581900635967,0.05828997630710546
30,65,1.0,20,7,7,7,0.05434006659137491,1.5669369748693327,0.9496176205814972,1.0783561961365646,3.013029316007845,0.5434013016788137,0.05434006659137491
30,70,1.0,50,5,7,3,0.05828997630710546,1.4950717776432976,0.8715839121011243,1.1043561754158226,2.681426956202938,0.5381688702507139,0.05828997630710546
30,70,1.0,20,7,7,3,0.054845625210649035,1.5113878286964333,0.908274222929375,1.0955873270310903,3.0375554642924643,0.5359144599496858,0.054845625210649035
30,65,1.0,50,5,7,7,0.051823523553958306,1.3991040795845644,1.01539858254518,1.0690801820858564,2.366494487359777,0.5296706982883312,0.051823523553958306
35,65,1.5,33,7,7,7,0.04901777432987845,1.1782696469115932,0.9887023730666155,1.127931472194962,1.52804318863049,0.5037750355789035,0.04901777432987845
