date,btc_close,paul_usd_eq,paul_xbt_mult,spot_hodl,lev2_hodl,lev3_hodl,v2_strategy
2024-04-13,63821.47265625,24236.43977154937,1.091907990095883,22196.412144049897,33521.03322332949,46781.54983499426,32519.7391193011
2024-04-14,65738.7265625,24963.46633329515,1.0918617286743781,22863.21214280779,34840.9152935596,48761.372940339425,33220.002088822686
2024-04-15,63426.2109375,24088.244500898596,1.0919944323890154,22058.944429047533,33219.144499381655,46328.7167490725,32359.572162672965
2024-04-16,63811.86328125,24236.059881149667,1.0920553020812722,22193.070108226068,33474.08001567378,46711.120023510695,32494.828111444294
2024-04-17,61276.69140625,23272.865043896494,1.0920400953571225,21311.364979035614,31697.882938305465,44046.82440745821,31552.46737490012
2024-04-18,63512.75390625,24119.6534174323,1.0919283952581056,22089.043129729213,33239.98581381483,46359.97872072225,32370.62951473712
2024-04-19,63843.5703125,24245.17424591065,1.0919234290413484,22204.097467893556,33456.77203166277,46685.15804749417,32485.64536659659
2024-04-20,64994.44140625,24683.44335426328,1.0919771967117016,22604.357882740733,34243.73024662748,47865.59536994124,32903.1657715859
2024-04-21,64926.64453125,24655.051005641195,1.091860079258356,22580.778869017813,34183.02375186023,47774.53562779037,32870.95796207489
2024-04-22,66837.6796875,25381.435260071783,1.0918899107131261,23245.416054348258,35498.350872888506,49747.52630933278,33568.804304894715
2024-04-23,66407.2734375,25218.039600956883,1.0918920754602084,23095.725454668252,35185.1122382557,49277.66835738357,33402.61565713272
2024-04-24,64276.8984375,24416.04281835042,1.0922056185413849,22354.804263832186,33689.856974025264,47034.785461037915,32609.308501031832
2024-04-25,64481.70703125,24518.75935189288,1.0933167607784127,22426.03445906763,33818.861743820715,47228.29261573109,32677.7519364091
2024-04-26,63755.3203125,24243.892575547943,1.0933770653485064,22173.40508036024,33300.29894335772,46450.4484150366,32402.628624466284
2024-04-27,63419.140625,24125.63936041167,1.0938115872310905,22056.485451469835,33053.22579430603,46079.83869145906,32271.544051877296
2024-04-28,63113.23046875,24010.86800857745,1.0938845567100894,21950.093235424494,32827.27130627409,45740.90695941115,32151.663977486714
2024-04-29,63841.12109375,24301.31382061271,1.0944937599107871,22203.245656323823,33320.25420067895,46480.381301018446,32413.21587924041
2024-04-30,60636.85546875,23208.228605451128,1.1004982676625876,21088.837018112205,31078.78362204485,43118.175433067285,31224.004449755703
2024-05-01,58254.01171875,22659.926612448333,1.118450327710296,20260.109949485188,29409.173418821123,40613.760128231705,30338.193341912447
2024-05-02,59123.43359375,22999.784056169818,1.1185313260389786,20562.48539557516,30001.586819763725,41502.380229645605,30652.498064042757
2024-05-03,62889.8359375,24461.83258605906,1.1183881807322182,21872.39905382735,32608.290696835804,45412.43604525373,32035.483891938493
2024-05-04,63891.47265625,24861.371731610645,1.118835479176485,22220.75738062023,33291.674895993194,46437.51234398981,32398.0531391612
2024-05-05,64031.1328125,24916.874547940955,1.1188874981229406,22269.32965981103,33375.45785657891,46563.186784868376,32442.50415952004
2024-05-06,63161.94921875,24588.01064315375,1.1193139314888163,21967.03708534108,32757.692485387797,45636.538728081716,32114.748958464486
2024-05-07,62334.81640625,24265.206448295907,1.119276400381739,21679.369313978248,32169.349321073758,44754.023981610655,31802.603698950163
