date,w5_btc,w5_strategy,w5_lev
2023-06-18,26336.212890625,8819.249323275848,1.5
2023-06-19,26851.029296875,9072.553044617138,1.5
2023-06-20,28327.48828125,9804.89491878679,1.5
2023-06-21,30027.296875,10481.010013964498,1.5
2023-06-22,29912.28125,10431.429328109036,1.5
2023-06-23,30695.46875,10739.699554298542,2.0
2023-06-24,30548.6953125,10689.814509755517,2.0
2023-06-25,30480.26171875,10664.997181762397,2.0
2023-06-26,30271.130859375,10595.190450683536,2.0
2023-06-27,30688.1640625,10725.655441710933,2.0
2023-06-28,30086.24609375,10530.212690158345,2.0
2023-06-29,30445.3515625,10642.169729674504,2.0
2023-06-30,30477.251953125,10648.474854071052,2.0
2023-07-01,30590.078125,10675.000990655028,2.0
2023-07-02,30620.76953125,10680.504646288224,2.0
2023-07-03,31156.439453125,10815.202477688943,2.0
2023-07-04,30777.58203125,10715.881383622045,2.0
2023-07-05,30514.166015625,10646.124553020798,2.0
2023-07-06,29909.337890625,10489.039160100232,1.5
2023-07-07,30342.265625,10596.728949629554,2.0
2023-07-08,30292.541015625,10584.687827999356,2.0
2023-07-09,30171.234375,10557.998602240568,2.0
2023-07-10,30414.470703125,10605.93019943703,2.0
2023-07-11,30620.951171875,10646.323796759882,2.0
2023-07-12,30391.646484375,10597.509739374884,2.0
2023-07-13,31476.048828125,10817.594698844767,2.0
2023-07-14,30334.068359375,10581.3037993402,2.0
2023-07-15,30295.806640625,10573.548252121014,2.0
2023-07-16,30249.1328125,10564.417176213694,2.0
2023-07-17,30145.888671875,10546.025503714864,2.0
2023-07-18,29856.5625,10497.169612018273,1.5
2023-07-19,29913.923828125,10505.094959064922,2.0
2023-07-20,29792.015625,10483.663682050586,1.5
2023-07-21,29908.744140625,10501.313054378144,2.0
2023-07-22,29771.802734375,10477.420477383694,1.5
2023-07-23,30084.5390625,10526.672638779102,2.0
2023-07-24,29176.916015625,10406.215494912623,1.5
2023-07-25,29227.390625,10410.587401096522,1.5
2023-07-26,29354.97265625,10423.038142774121,1.5
2023-07-27,29210.689453125,10406.994929467062,1.5
2023-07-28,29319.24609375,10417.452442754227,1.5
2023-07-29,29356.91796875,10420.478218643493,1.5
