date,btc,v4_mechanical,v7b_balanced
2019-04-04,4922.798828125,0.0,1250.5697775271192
2019-04-05,5036.68115234375,0.0,1250.5697775271192
2019-04-06,5059.8173828125,0.0,1250.5697775271192
2019-04-07,5198.89697265625,0.0,1250.5697775271192
2019-04-08,5289.77099609375,0.0,1250.5697775271192
2019-04-09,5204.95849609375,0.0,1250.5697775271192
2019-04-10,5324.5517578125,0.0,1250.5697775271192
2019-04-11,5064.48779296875,0.0,1250.5697775271192
2019-04-12,5089.5390625,0.0,1250.5697775271192
2019-04-13,5096.58642578125,0.0,1250.5697775271192
2019-04-14,5167.72216796875,0.0,1250.5697775271192
2019-04-15,5067.1083984375,0.0,1250.5697775271192
2019-04-16,5235.5595703125,0.0,1250.5697775271192
2019-04-17,5251.93798828125,0.0,1250.5697775271192
2019-04-18,5298.3857421875,0.0,1250.5697775271192
2019-04-19,5303.8125,0.0,1250.5697775271192
2019-04-20,5337.88623046875,0.0,1250.5697775271192
2019-04-21,5314.53125,0.0,1250.5697775271192
2019-04-22,5399.365234375,0.0,1250.5697775271192
2019-04-23,5572.3623046875,0.0,1250.5697775271192
2019-04-24,5464.86669921875,0.0,1250.5697775271192
2019-04-25,5210.515625,0.0,1250.5697775271192
2019-04-26,5279.34814453125,0.0,1250.5697775271192
2019-04-27,5268.291015625,0.0,1250.5697775271192
2019-04-28,5285.13916015625,0.0,1250.5697775271192
2019-04-29,5247.3525390625,0.0,1250.5697775271192
2019-04-30,5350.7265625,0.0,1250.5697775271192
2019-05-01,5402.697265625,0.0,1250.5697775271192
2019-05-02,5505.28369140625,0.0,1250.5697775271192
2019-05-03,5768.28955078125,0.0,1250.5697775271192
2019-05-04,5831.16748046875,0.0,1250.5697775271192
2019-05-05,5795.70849609375,0.0,1250.5697775271192
2019-05-06,5746.80712890625,0.0,1250.5697775271192
2019-05-07,5829.50146484375,0.0,1250.5697775271192
2019-05-08,5982.45751953125,0.0,1250.5697775271192
2019-05-09,6174.52880859375,0.0,1250.5697775271192
2019-05-10,6378.84912109375,0.0,1250.5697775271192
2019-05-11,7204.771484375,0.0,1250.5697775271192
2019-05-12,6972.37158203125,0.0,1250.5697775271192
2019-05-13,7814.9150390625,0.0,1250.5697775271192
2019-05-14,7994.416015625,0.0,1250.5697775271192
2019-05-15,8205.16796875,0.0,1250.5697775271192
2019-05-16,7884.9091796875,0.0,1250.5697775271192
2019-05-17,7343.8955078125,0.0,1250.5697775271192
2019-05-18,7271.2080078125,0.0,1250.5697775271192
2019-05-19,8197.689453125,0.0,1250.5697775271192
2019-05-20,7978.30908203125,0.0,1250.5697775271192
2019-05-21,7963.32763671875,0.0,1250.5697775271192
2019-05-22,7680.06640625,0.0,1250.5697775271192
2019-05-23,7881.8466796875,0.0,1250.5697775271192
2019-05-24,7987.37158203125,0.0,1250.5697775271192
2019-05-25,8052.5439453125,0.0,1250.5697775271192
2019-05-26,8673.2158203125,0.0,1250.5697775271192
2019-05-27,8805.7783203125,0.0,1250.5697775271192
2019-05-28,8719.9619140625,0.0,1250.5697775271192
2019-05-29,8659.4873046875,0.0,1250.5697775271192
2019-05-30,8319.47265625,0.0,1250.5697775271192
2019-05-31,8574.501953125,0.0,1250.5697775271192
2019-06-01,8564.0166015625,0.0,1250.5697775271192
2019-06-02,8742.9580078125,0.0,1250.5697775271192
2019-06-03,8208.9951171875,0.0,1250.5697775271192
2019-06-04,7707.77099609375,0.0,1250.5697775271192
2019-06-05,7824.2314453125,0.0,1250.5697775271192
2019-06-06,7822.0234375,0.0,1250.5697775271192
2019-06-07,8043.951171875,0.0,1250.5697775271192
2019-06-08,7954.1279296875,0.0,1250.5697775271192
2019-06-09,7688.0771484375,0.0,1250.5697775271192
2019-06-10,8000.32958984375,0.0,1250.5697775271192
2019-06-11,7927.71435546875,0.0,1250.5697775271192
2019-06-12,8145.857421875,0.0,1250.5697775271192
2019-06-13,8230.923828125,0.0,1250.5697775271192
